YA Novels of 2015,https://goodreads.com/list/show/44899.YA_Novels_of_2015,"1,421 books
    
    8,953 voters"
Best Science Fiction of the 21st Century,https://goodreads.com/list/show/4893.Best_Science_Fiction_of_the_21st_Century,"1,001 books
    
    8,896 voters"
Title,List,Listfulldetails
Most Interesting Magic System,https://goodreads.com/list/show/871.Most_Interesting_Magic_System,"2,472 books
    
    8,644 voters"
What's the Book You Can't Wait to Read This Summer?,https://goodreads.com/list/show/10634.What_s_the_Book_You_Can_t_Wait_to_Read_This_Summer_,"7,407 books
    
    8,600 voters"
College Romance,https://goodreads.com/list/show/12066.College_Romance,"1,553 books
    
    8,598 voters"
Hurry Up and Release It!!!,https://goodreads.com/list/show/3765.Hurry_Up_and_Release_It_,"300 books
    
    8,524 voters"
Best Ever Contemporary Romance Books,https://goodreads.com/list/show/57.Best_Ever_Contemporary_Romance_Books,"4,529 books
    
    8,487 voters"
Best Non-Fiction (no biographies),https://goodreads.com/list/show/134.Best_Non_Fiction_no_biographies_,"5,949 books
    
    8,483 voters"
What Book Would You Like To Live In?,https://goodreads.com/list/show/4252.What_Book_Would_You_Like_To_Live_In_,"6,044 books
    
    7,917 voters"
Best Adult Vampire Books,https://goodreads.com/list/show/129.Best_Adult_Vampire_Books,"1,722 books
    
    7,707 voters"
YA Novels of 2017,https://goodreads.com/list/show/73737.YA_Novels_of_2017,"1,093 books
    
    7,702 voters"
Best Unknown but must be Known books,https://goodreads.com/list/show/25529.Best_Unknown_but_must_be_Known_books_,"8,710 books
    
    7,535 voters"
Title,List,Listfulldetails
Big Fat Books Worth the Effort,https://goodreads.com/list/show/3153.Big_Fat_Books_Worth_the_Effort,"1,807 books
    
    7,425 voters"
Books that Made You Cry!,https://goodreads.com/list/show/223.Books_that_Made_You_Cry_,"3,141 books
    
    7,419 voters"
Best Humorous Books,https://goodreads.com/list/show/312.Best_Humorous_Books,"4,186 books
    
    7,391 voters"
Favorite books from my childhood,https://goodreads.com/list/show/226.Favorite_books_from_my_childhood,"4,294 books
    
    7,310 voters"
"Intense And ""Angsty"" Romance",https://goodreads.com/list/show/16083.Intense_And_Angsty_Romance,"2,863 books
    
    7,258 voters"
Best Books Published in 2013,https://goodreads.com/list/show/27345.Best_Books_Published_in_2013,"3,539 books
    
    7,177 voters"
Best Books of 2011,https://goodreads.com/list/show/8226.Best_Books_of_2011,"2,603 books
    
    7,162 voters"
Best Twists,https://goodreads.com/list/show/541.Best_Twists,"5,568 books
    
    7,140 voters"
YA Novels of 2011,https://goodreads.com/list/show/3812.YA_Novels_of_2011,"1,111 books
    
    7,092 voters"
Best Young Adult Fiction,https://goodreads.com/list/show/141.Best_Young_Adult_Fiction,"3,426 books
    
    6,967 voters"
Title,List,Listfulldetails
Best Books of 2009,https://goodreads.com/list/show/1297.Best_Books_of_2009,"1,699 books
    
    6,940 voters"
Indie Authors to Watch,https://goodreads.com/list/show/36335.Indie_Authors_to_Watch,"7,288 books
    
    6,938 voters"
